fajta, név, kor, szín
tacskó, Buksi, 3, barna
labrador, Mogyoró, 5, arany
keverék, Tappancs, 2, fekete
németjuhász, Rex, 6, szürke
mopsz, Pötyi, 1, bézs
bordercollie, Folt, 4, fekete-fehér
cicás, Whiskers, 3, tarka
shibainu, Kuma, 4, vörös
goldenretriever, Arany, 2, arany
beagle, Snoopy, 5, tricolor
corgi, Cupcake, 3, vörös
schnauzer, Szmötyi, 7, ezüst
vizsla, Cseles, 5, arany
siamimacska, Siam, 4, krém
chowchow, Panda, 5, fekete
rottweiler, Bruno, 6, fekete-barna
jackrussellterrier, Pixie, 4, fehér-barna
puli, Bogyó, 10, fekete
akita, Yuki, 2, fehér
persiamacska, Fluffy, 5, fehér
boxer, Tyson, 3, barna
ragdollmacska, Cloud, 2, kék
bulldog, Tank, 4, bézs
malamut, Storm, 3, szürke-fehér
szibériaihusky, Blaze, 5, kék-fehér
papillon, Elf, 6, fekete-fehér
havannaimacska, Coco, 3, barna
poodle, Ruffles, 1, fekete
mainecoon, Max, 4, szürke
weimari, Shadow, 5, ezüst
sphynxmacska, Sphinx, 2, rózsaszín
dalmata, Dot, 4, fehér-fekete
samoyed, Bear, 2, fehér
bengálimacska, Tiger, 3, tigriscsíkos
bostonterrier, Smudge, 4, fekete-fehér
coonhound, Hunter, 5, fekete-tan
basenji, Zippy, 3, vörös-fehér
angolstaffordshire, Lucky, 2, kék
szamojéd, Frosty, 1, fehér
komondor, Mop, 7, fehér
sharpei, Wrinkle, 5, szürke
whippet, Swift, 4, krém
bernskypásztorkutya, Bernie, 6, fekete-fehér-barna
máltai, Snowball, 2, fehér
yorkshireterrier, Gizmo, 3, acélszürke-arany
australiancattledog, Blue, 5, kék
oldenglishsheepdog, Patches, 6, szürke-fehér
bullterrier, Spots, 2, fehér-piros
greyhound, Arrow, 5, szürke
lhasaapso, Teddy, 4, arany
brittspaniel, Lady, 3, arany-fehér
foxterrier, Flick, 6, fehér-piros
bichonfrise, Angel, 4, fehér
hollandpásztorkutya, Dutch, 5, szürke
chihuahua, Tiny, 1, barna
kingcharlesspaniel, Buddy, 2, tricolor
leonbergi, Giant, 4, arany-barna
airedaleterrier, Duke, 3, fekete-arany
